Vardas         Pavarde        Galutinis (Vid.)
------------------------------------------------------------
Vardas0        Pavarde0            6.80

Vardas1        Pavarde1            8.00

Vardas10       Pavarde10           6.40

Vardas1000     Pavarde1000         9.20

Vardas10000    Pavarde10000        5.20

Vardas10002    Pavarde10002        6.40

Vardas10004    Pavarde10004        6.80

Vardas10005    Pavarde10005        7.60

Vardas10007    Pavarde10007        5.80

Vardas10008    Pavarde10008        5.60

Vardas10011    Pavarde10011        7.80

Vardas10012    Pavarde10012        5.00

Vardas10014    Pavarde10014        5.40

Vardas10018    Pavarde10018        7.80

Vardas10020    Pavarde10020        5.20

Vardas10021    Pavarde10021        7.60

Vardas10022    Pavarde10022        8.00

Vardas10023    Pavarde10023        7.20

Vardas10025    Pavarde10025        6.80

Vardas10026    Pavarde10026        8.00

Vardas10027    Pavarde10027        6.60

Vardas10028    Pavarde10028        5.00

Vardas10029    Pavarde10029        8.00

Vardas1003     Pavarde1003         6.40

Vardas10030    Pavarde10030        8.00

Vardas10031    Pavarde10031        5.20

Vardas10033    Pavarde10033        6.00

Vardas10037    Pavarde10037        7.60

Vardas10039    Pavarde10039        7.00

Vardas1004     Pavarde1004         5.60

Vardas10040    Pavarde10040        8.40

Vardas10041    Pavarde10041        8.00

Vardas10042    Pavarde10042        7.40

Vardas10044    Pavarde10044        7.40

Vardas10045    Pavarde10045        5.60

Vardas10046    Pavarde10046        5.60

Vardas10047    Pavarde10047        6.20

Vardas10049    Pavarde10049        6.40

Vardas10051    Pavarde10051        7.60

Vardas10052    Pavarde10052        6.40

Vardas10054    Pavarde10054        6.00

Vardas10055    Pavarde10055        6.00

Vardas10056    Pavarde10056        7.80

Vardas10057    Pavarde10057        5.00

Vardas10058    Pavarde10058        7.00

Vardas10059    Pavarde10059        7.00

Vardas10060    Pavarde10060        7.80

Vardas10062    Pavarde10062        8.00

Vardas10068    Pavarde10068        6.20

Vardas10072    Pavarde10072        8.20

Vardas10073    Pavarde10073        6.60

Vardas10074    Pavarde10074        6.00

Vardas10075    Pavarde10075        7.40

Vardas10076    Pavarde10076        5.20

Vardas10077    Pavarde10077        7.20

Vardas10079    Pavarde10079        5.60

Vardas10081    Pavarde10081        7.40

Vardas10083    Pavarde10083        6.60

Vardas10084    Pavarde10084        6.80

Vardas10088    Pavarde10088        5.00

Vardas1009     Pavarde1009         8.80

Vardas10092    Pavarde10092        7.20

Vardas10093    Pavarde10093        5.20

Vardas10096    Pavarde10096        8.40

Vardas10097    Pavarde10097        5.40

Vardas10098    Pavarde10098        6.80

Vardas101      Pavarde101          5.40

